Original		Modificado	
Desplazamiento (mm)	Fuerza (kN)	Desplazamiento (mm)	Fuerza (kN)
40.84648941	20.69741531	40.84648941	20.69741531
37.97992287	21.99384926	37.97992287	21.99384926
33.89867377	22.43084	33.89867377	22.43084
30.62651072	23.51257117	30.62651072	23.51257117
24.7817069	23.62929869	24.7817069	23.62929869
22.73370787	24.60146613	22.73370787	24.60146613
21.35257273	26.86458934	21.35257273	26.86458934
17.12910148	27.94779541	17.12910148	27.94779541
16.03557113	28.59548564	16.03557113	28.59548564
13.58724307	28.81461311	13.58724307	28.81461311
11.40439637	29.67932381	11.40439637	29.67932381
9.221549669	30.54403451	9.221549669	30.54403451
5.953600601	31.19509593	5.953600601	31.19509593
4.863230748	31.51978384	4.863230748	31.51978384
3.502112052	31.73722571	3.502112052	31.73722571
2.545536373	32.2770378	2.545536373	32.2770378
2.286376003	30.98544994	2.286376003	30.98544994
1.907116923	28.07906119	1.907116923	28.07906119
1.108565861	26.35764637	1.108565861	26.35764637
-0.538050642	0.197408565	-0.538050642	0.197408565
-0.536997145	0.089741126	-0.536997145	0.089741126
-0.685540284	-26.39581669	-0.685540284	-26.39581669
-1.332387714	-29.73245379	-1.332387714	-29.73245379
-1.448272433	-31.77792442	-1.448272433	-31.77792442
-2.650313015	-33.9293769	-2.650313015	-33.9293769
-3.736468879	-34.03535875	-3.736468879	-34.03535875
-5.64751324	-33.17106944	-5.64751324	-33.17106944
-7.554343612	-32.7374499	-7.554343612	-32.7374499
-10.14173333	-32.19510941	-10.14173333	-32.19510941
-13.68991272	-30.68228708	-13.68991272	-30.68228708
-16.69554092	-29.06264012	-16.69554092	-29.06264012
-18.74353995	-28.09047267	-18.74353995	-28.09047267
-21.33830416	-26.79446012	-21.33830416	-26.79446012
-24.19012173	-27.00537031	-24.19012173	-27.00537031
-31.79742677	-27.31657345	-31.79742677	-27.31657345
-42.4135205	-25.68512731	-42.4135205	-25.68512731
