Original		Modificado	
Desplazamiento (mm)	Fuerza (kN)	Desplazamiento (mm)	Fuerza (kN)
0	0.042372881	0	0.042372881
1.046511628	12.8857903	1.046511628	12.8857903
3.488372093	20.90461175	3.488372093	20.90461175
8.139534884	21.94126922	8.139534884	21.94126922
10.58139535	22.20585337	10.58139535	22.20585337
14.30232558	23.36568782	14.30232558	23.36568782
15.93023256	19.94038234	15.93023256	19.94038234
18.72093023	17.79119038	18.72093023	17.79119038
19.88372093	16.14357509	19.88372093	16.14357509
