Original		Modificado	
Desplazamiento (mm)	Fuerza (kN)	Desplazamiento (mm)	Fuerza (kN)
0.11627907	0.042865589	0.11627907	0.042865589
0.348837209	8.560800158	0.348837209	8.560800158
2.441860465	10.98492314	2.441860465	10.98492314
4.069767442	12.51724478	4.069767442	12.51724478
9.88372093	13.30459204	9.88372093	13.30459204
13.8372093	13.06710682	13.8372093	13.06710682
16.97674419	13.58888451	16.97674419	13.58888451
21.51162791	14.24369334	21.51162791	14.24369334
24.88372093	13.87662594	24.88372093	13.87662594
34.53488372	12.7734529	34.53488372	12.7734529
35.11627907	8.708119827	35.11627907	8.708119827
35.46511628	4.133326764	35.46511628	4.133326764
